id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	1	3	3	171	30	95	168	43	0
3	0	50	50	251	49	76	201	76	0
4	1	57	68	292	84	42	235	109	11
7	0	231	233	383	44	20	152	88	2
1	1	0	0	418	86	63	418	269	0
11	0	411	420	515	16	6	104	82	9
13	0	499	506	585	14	12	86	60	7
6	0	212	230	609	91	61	397	245	18
9	0	375	411	627	46	30	252	176	36
12	0	440	460	689	22	94	249	133	20
8	0	333	334	710	71	57	377	249	1
10	0	395	418	713	42	59	318	217	23
18	0	711	713	726	13	0	15	2	2
5	1	193	193	754	42	37	561	482	0
20	0	832	832	836	4	0	4	0	0
15	0	555	568	859	38	81	304	185	13
19	1	738	738	864	45	9	126	72	0
17	2	643	689	985	67	29	342	246	46
14	3	554	563	1019	129	21	465	315	9
16	5	621	668	1117	147	74	496	275	47
0	0	0	0	1117	37	0	1117	1080	0
