id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	3	13	183	30	95	180	55	10
1	0	0	0	225	86	63	225	76	0
4	0	57	78	322	84	42	265	139	21
3	0	50	58	330	49	76	280	155	8
5	0	193	203	342	42	37	149	70	10
7	0	231	273	405	44	20	174	110	42
11	0	411	420	482	16	6	71	49	9
6	0	212	245	567	91	61	355	203	33
9	0	375	400	589	46	30	214	138	25
13	0	499	540	619	14	12	120	94	41
8	0	333	342	639	71	57	306	178	9
10	0	395	419	655	42	59	260	159	24
12	0	440	484	708	22	94	268	152	44
18	0	711	741	754	13	0	43	30	30
20	0	832	906	910	4	0	78	74	74
19	0	738	767	922	45	9	184	130	29
17	0	643	708	1000	67	29	357	261	65
15	0	555	609	1022	38	81	467	348	54
14	0	554	589	1036	129	21	482	332	35
16	0	621	675	1114	147	74	493	272	54
0	0	0	0	1114	34	0	1114	1080	0
