id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	3	13	170	30	95	167	42	10
1	0	0	0	194	86	63	194	45	0
5	0	193	194	328	42	37	135	56	1
3	0	50	60	336	49	76	286	161	10
7	0	231	268	395	44	20	164	100	37
11	0	411	414	439	16	6	28	6	3
13	0	499	502	530	14	12	31	5	3
9	0	375	395	546	46	30	171	95	20
6	0	212	247	570	91	61	358	206	35
10	0	395	399	635	42	59	240	139	4
12	0	440	447	700	22	94	260	144	7
18	0	711	732	745	13	0	34	21	21
20	0	832	833	837	4	0	5	1	1
19	0	738	745	890	45	9	152	98	7
17	0	643	661	915	67	29	272	176	18
15	0	555	615	928	38	81	373	254	60
4	0	57	87	936	84	42	879	753	30
14	0	554	570	1029	129	21	475	325	16
16	0	621	635	1072	147	74	451	230	14
8	0	333	336	1089	71	57	756	628	3
0	0	0	0	1089	9	0	1089	1080	0
