id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	3	13	170	30	95	167	42	10
1	0	0	0	194	86	63	194	45	0
5	0	193	194	320	42	37	127	48	1
3	0	50	74	392	49	76	342	217	24
11	0	411	423	448	16	6	37	15	12
7	0	231	247	486	44	20	255	191	16
9	0	375	380	540	46	30	165	89	5
13	0	499	516	549	14	12	50	24	17
4	0	57	60	559	84	42	502	376	3
10	0	395	424	579	42	59	184	83	29
12	0	440	448	691	22	94	251	135	8
6	0	212	270	728	91	61	516	364	58
18	0	711	785	798	13	0	87	74	74
19	0	738	742	830	45	9	92	38	4
20	0	832	834	838	4	0	6	2	2
8	0	333	334	855	71	57	522	394	1
17	0	643	652	880	67	29	237	141	9
15	0	555	559	914	38	81	359	240	4
14	0	554	579	1050	129	21	496	346	25
16	0	621	624	1089	147	74	468	247	3
0	0	0	0	1089	9	0	1089	1080	0
