id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	3	13	185	30	95	182	57	10
1	0	0	0	202	86	63	202	53	0
3	0	50	60	263	49	76	213	88	10
4	0	57	87	315	84	42	258	132	30
5	0	193	242	344	42	37	151	72	49
7	0	231	284	371	44	20	140	76	53
11	0	411	422	487	16	6	76	54	11
6	0	212	263	529	91	61	317	165	51
13	0	499	529	563	14	12	64	38	30
8	0	333	371	645	71	57	312	184	38
9	0	375	417	663	46	30	288	212	42
10	0	395	421	784	42	59	389	288	26
12	0	440	495	799	22	94	359	243	55
18	0	711	799	812	13	0	101	88	88
14	0	554	579	889	129	21	335	185	25
20	0	832	898	902	4	0	70	66	66
19	0	738	842	986	45	9	248	194	104
16	0	621	666	1060	147	74	439	218	45
17	0	643	742	1085	67	29	442	346	99
15	0	555	624	1091	38	81	536	417	69
0	0	0	0	1091	11	0	1091	1080	0
